physician_profile_id,physician_first_name,physician_last_name,submitting_applicable_manufacturer_or_applicable_gpo_name,total_amount_of_payment_usdollars,date_of_payment,nature_of_payment_or_transfer_of_value
90009,Jeffrey,Carter,"Avita Medical Americas, LLC",54625,1/24/2020,Charitable Contribution
1178502,Abraham,Houng,"Avita Medical Americas, LLC",500,11/11/2020,Consulting Fee
907332,ANJAY,KHANDELWAL,"Avita Medical Americas, LLC",8287.95,3/20/2020,Consulting Fee
1123190,CHANDRA,ELLIS,"Avita Medical Americas, LLC",6953.42,2/14/2020,Consulting Fee
438416,HAMED,AMANI,"Avita Medical Americas, LLC",1734.19,5/15/2020,Consulting Fee
7726210,Hana,LOPEZ-QUINONES,"Avita Medical Americas, LLC",1046.21,2/25/2020,Consulting Fee
378281,HERBERT,Phelan,"Avita Medical Americas, LLC",797.14,11/6/2020,Consulting Fee
1070097,James,Holmes,"Avita Medical Americas, LLC",3500,5/15/2020,Consulting Fee
552526,Jeffrey,Litt,"Avita Medical Americas, LLC",8806.4,1/24/2020,Consulting Fee
134510,Jeffrey,Shupp,"Avita Medical Americas, LLC",7489.39,1/24/2020,Consulting Fee
298778,Joe,OLIVI,"Avita Medical Americas, LLC",8346.6,1/31/2020,Consulting Fee
305256,John,Bailey,"Avita Medical Americas, LLC",1875,11/13/2020,Consulting Fee
942152,Joshua,Carson,"Avita Medical Americas, LLC",9847.6,1/24/2020,Consulting Fee
108209,KEVIN,FOSTER,"Avita Medical Americas, LLC",5939.3,3/27/2020,Consulting Fee
982123,LINWOOD,HAITH,"Avita Medical Americas, LLC",762.3,5/15/2020,Consulting Fee
61224,Lucy,Wibbenmeyer,"Avita Medical Americas, LLC",750,5/15/2020,Consulting Fee
1022954,NICOLE,KOPARI,"Avita Medical Americas, LLC",33203.01,1/24/2020,Consulting Fee
339146,PAUL,GLAT,"Avita Medical Americas, LLC",11589.13,1/24/2020,Consulting Fee
101650,Rajiv,Sood,"Avita Medical Americas, LLC",18500,8/21/2020,Consulting Fee
339222,Risal,Djohan,"Avita Medical Americas, LLC",500,9/8/2020,Consulting Fee
465999,SAMUEL,JONES,"Avita Medical Americas, LLC",6602.89,1/24/2020,Consulting Fee
1110827,Sigrid,Blome-Eberwine,"Avita Medical Americas, LLC",5774.5,3/13/2020,Consulting Fee
589035,Steven,Kahn,"Avita Medical Americas, LLC",8301.22,2/21/2020,Consulting Fee
319402,WILLIAM,HICKERSON,"Avita Medical Americas, LLC",3537.38,5/15/2020,Consulting Fee
755062,JOSEPH,TURKOWSKI,"Avita Medical Americas, LLC",208,6/2/2020,Education
180482,MICHAEL,MARANO,"Avita Medical Americas, LLC",208.01,4/6/2020,Education
7863640,Adelaide,Bertram,"Avita Medical Americas, LLC",118.79,10/29/2020,Food and Beverage
1602989,Alejandro,Garcia,"Avita Medical Americas, LLC",118.79,10/29/2020,Food and Beverage
5816028,Alexa,Soult,"Avita Medical Americas, LLC",99.15,12/2/2020,Food and Beverage
316566,ANDREW,TANG,"Avita Medical Americas, LLC",6.43,1/28/2020,Food and Beverage
3179247,ARCHIE,BOWIE,"Avita Medical Americas, LLC",154.25,3/17/2020,Food and Beverage
1143862,ARPANA,JAIN,"Avita Medical Americas, LLC",44.93,1/28/2020,Food and Beverage
1251918,BOUNTHAVY,HOMSOMBATH,"Avita Medical Americas, LLC",157.25,1/26/2020,Food and Beverage
1319317,Branden,Kret,"Avita Medical Americas, LLC",19.56,9/25/2020,Food and Beverage
4221603,BRANDON,WOODWARD,"Avita Medical Americas, LLC",29.4,5/14/2020,Food and Beverage
210340,Brooke,Burkey,"Avita Medical Americas, LLC",120.62,10/14/2020,Food and Beverage
261254,BRUCE,BENNETT,"Avita Medical Americas, LLC",101.09,6/5/2020,Food and Beverage
290650,BRUCE,FRIEDMAN,"Avita Medical Americas, LLC",157.25,1/26/2020,Food and Beverage
1109671,BRUCE,GREENSTEIN,"Avita Medical Americas, LLC",114.66,2/25/2020,Food and Beverage
237576,CHARLES,Hultman,"Avita Medical Americas, LLC",118.79,10/29/2020,Food and Beverage
